409,I'm backporting this to 3.4 and 3.3 branches. --Michi,neutral
485,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12508207/ZOOKEEPER-1263.patch against trunk revision 1214571. +1 @author. The patch does not contain any @author tags. +1 tests included. The,neutral
611,Bug Flavio more? Seriously,negative
644,Integrated in ZooKeeper-trunk #1266 (See https://builds.apache.org/job/ZooKeeper-trunk/1266/) ZOOKEEPER-1104. CLONE - In QuorumTest,neutral
927,The patch no longer applies. Abmar,neutral
1671,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/),neutral
1725,3.0.0 has been released,neutral
3591,That is my understanding. Looking at the dtd,neutral
4163,No reply,neutral
4223,Updated in 1.2 branch. David,neutral
4694,As Wing Yew said,neutral
4758,See comments above,neutral
5294,After re-compiling the applcation and re-deploying everything worked properly,positive
5373,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel,neutral
5491,reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0,neutral
5713,Venu committed your patch for Xerces 2.6.0. Please verify.,neutral
5784,This bug is 3 years old. Anybody looking to fix it?,neutral
6272,The problem is not in the SAX parser. The problem occurs if you give the -server flag to the jvm (jdk 1.4/1.3) e.g. java -server <sax parser class> on a really big file. Will cause a stackOverflow. Greg Meagher,neutral
6447,See bug 5694 for the DOMException problem.,neutral
7278,Hi George,positive
7461,I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!,positive
8502,I tried using your testcase on Win95/IE4,neutral
8813,checked in,neutral
8980,Added 'onRowInserted' callback to TreeTable,neutral
9485,This appears to be a duplicate of XALANJ-2301. That bug report contains a one-line patch (supplied inline in the text of the bug report).,neutral
9798,closing this issue.,neutral
9989,Xalan-Java appears to be operating correctly.,neutral
10314,First I want to verify that Gretchen's fix >Additional Comments From Gretchen Chiaramonte 2003-09-22 20:04 ------- for this bug works for me as well using Xalan 2.6.0. Second,neutral
10446,This bug has been fixed in Xalan Java 2.5.2. Please verify.,neutral
11526,Original reporter is not available. This report has now 'timed out'.,neutral
11718,*** This bug has been marked as a duplicate of 6155 ***,neutral
11834,Still happens to me. Steps to duplicate: 1. Start IE5.5 on Win2k - open java console from the 'view' menu. 2. Download xalan-j_2_2_D11.tar.gz to server. 3. tar xzf xalan-j_2_2_D11.tar.gz (extract to location on a webserver - for me this was /home/httpd/html) 4. navigate to http://SERVER/xalan- j_2_2_D11/samples/AppletXMLtoHTML/appletXMLtoHTML.html,neutral
11881,AFAIK,neutral
11978,Unfortunatly,negative
12834,Integrated in Struts2 #551 (See https://builds.apache.org/job/Struts2/551/) WW-3914 solves problem with returning always system implementation of FileManager (Revision 1405930) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactory.java /struts/struts2/trunk/xwork-core/src/test/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactoryTest.java,neutral
12989,Already resolved with WW-3414,neutral
